movie_name,quote,ranking,score,score_num
2001太空漫游,现代科幻电影的开山之作，最伟大导演的最伟大影片。,192,8.9,298392
你看起来好像很好吃,感情不分食草或者食肉。,193,8.9,316652
黑天鹅,黑暗之美。,194,8.6,752336
无间道2,,195,8.7,440901
背靠背，脸对脸,,196,9.5,115405
魔女宅急便,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,197,8.7,432809
小丑,,198,8.7,952063
牯岭街少年杀人事件,弱者送给弱者的一刀。,199,8.9,274987
遗愿清单,用剩余不多的时间，去燃烧整个生命。,200,8.7,422772
大佛普拉斯,人们可以登上月球，却永远无法探索人们内心的宇宙。,201,8.7,422056
雨人,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,202,8.7,385132
可可西里,坚硬的信仰。,203,8.9,286363
恋恋笔记本,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,204,8.6,634690
城市之光,永远的小人物，伟大的卓别林。,205,9.3,135875
东京教父,,206,9.0,204090
源代码,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,207,8.5,795169
初恋这件小事,黑小鸭速效美白记。,208,8.5,943562
人工智能,对爱的执着，可以超越一切。,209,8.7,420903
虎口脱险,永远看不腻的喜剧。,210,8.9,240344
萤火虫之墓,幸福是生生不息，却难以触及的远。 ,211,8.7,389800
心灵奇旅,,212,8.7,908378
海边的曼彻斯特,我们都有权利不与自己的过去和解。,213,8.6,486849
罗生门,人生的N种可能性。,214,8.8,296412
青蛇,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,215,8.6,495575
波西米亚狂想曲,,216,8.6,567654
终结者2：审判日,少见的超越首部的续集，动作片中的经典。,217,8.8,323296
疯狂的麦克斯4：狂暴之路,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,218,8.7,498193
新龙门客栈,嬉笑怒骂，调风动月。,219,8.7,419109
奇迹男孩,世界不完美，爱会有奇迹。,220,8.6,529283
二十二,有一些东西不应该被遗忘。,221,8.7,280930
无耻混蛋,昆汀同学越来越变态了，比北野武还杜琪峰。,222,8.6,448575
千钧一发,一部能引人思考的科幻励志片。,223,8.8,274758
房间,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,224,8.8,355469
血钻,每个美丽事物背后都是滴血的现实。,225,8.7,359352
崖上的波妞,,226,8.6,458673
彗星来的那一夜,小成本大魅力。,227,8.5,535403
黑客帝国2：重装上阵,一个精彩的世界观正在缓缓建立。,228,8.7,385274
